"ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"3ee23d0fd58e54c321aa6df355ab832f",0,"26-100",1,1,4,3,5,"male"
"a7c2195fc046b6c7cbbd766e373e204c",0,"6-25",1,1,6,3,5,"male"
"15b5f7c40bdbc4b50f8cd1af8def5c6f",0,"6-25",0,1,10,3,7,"male"
"b942d126d28dcb15a086c4961cf2ace6",0,"More than 1000",0,1,5,3,7,"male"
"7dd0a8c75a40d0f37e57080550eb54d6",0,"More than 1000",0,1,9,3,5,"male"
"77f8585a47d150d4ba95bf954bef44cd",0,"More than 1000",1,1,5,3,7,"male"
"0d698e3beca20fb75f19b9d528e36d73",0,"More than 1000",1,1,8,3,3,"male"
"0025ac487d01325db6c18c88451b2fa0",0,"More than 1000",1,1,7,3,4,"male"
"fc49ae611d22b9bb9d27c18228a926e0",1,"",NA,NA,NA,4,NA,"female"
"d3d7367cee35be8b20ea58c6090f0b0f",1,"",NA,NA,NA,4,6,"female"
"b52ed238539bbce673ac7f6eb5b7254d",1,"",NA,NA,NA,4,1,"female"
"a9879f80d96ebf012c603bf3dcb5fa97",0,"100-500",0,1,2,4,6,"female"
"1a0150530346350dbefc8ccbfa9672b4",0,"6-25",1,1,6,4,8,"female"
"a8da608be50e57fc4ac6516f4231ab19",1,"",NA,NA,NA,4,5,"male"
"602246d10ba9e88cebf816cea17b3a77",0,"1-5",1,1,6,4,4,"male"
"8e0b1d6a0b1e1d4c6f9483efc9a4681d",0,"100-500",1,1,5,4,0,"male"
"7ebd1c6653577718c07e1b88b31a8e84",0,"100-500",0,1,6,4,5,"male"
"2137d060e3618a7fa459213e68fcbc58",0,"26-100",1,1,4,4,5,"male"
"0f0192f6672eec4f8d584ca636fe8dd1",0,"26-100",1,1,3,4,7,"male"
"f109ee6a66109748042a35cf84b20f8b",0,"6-25",1,1,5,4,NA,"male"
"e8f8e0d2006003d072cf67eaac80fce3",0,"6-25",1,1,1,4,NA,"male"
"980a7acf9463187be6008185098d3007",0,"6-25",1,1,7,4,5,"male"
"4509b8d497acaa4e4ca68b395caa6624",0,"6-25",1,1,4,4,8,"male"
"8e86c2988e22a3ca0e70b8288713d2f1",0,"More than 1000",1,1,4,4,3,"male"
